Sample,Sample_Input,Filtered_Output
0,0,0
1,464,0
2,882,0
3,1214,-1
4,1427,-1
5,1500,-2
6,1427,-2
7,1214,-3
8,882,-3
9,464,-3
10,0,-2
11,-464,0
12,-882,2
13,-1214,3
14,-1427,5
15,-1500,4
16,-1427,3
17,-1214,0
18,-882,-4
19,-464,-7
20,0,-8
21,464,-7
22,882,-3
23,1214,3
24,1427,8
25,1500,11
26,1427,11
27,1214,7
28,882,-2
29,464,-11
30,0,-19
31,-464,-23
32,-882,-19
33,-1214,-8
34,-1427,7
35,-1500,23
36,-1427,35
37,-1214,36
38,-882,25
39,-464,3
40,0,-25
41,464,-49
42,882,-61
43,1214,-53
44,1427,-22
45,1500,25
46,1427,76
47,1214,110
48,882,106
49,464,42
50,0,-92
51,-464,-296
52,-882,-91
53,-1214,44
54,-1427,108
55,-1500,113
56,-1427,78
57,-1214,28
58,-882,-20
59,-464,-51
60,0,-60
61,464,-49
62,882,-26
63,1214,1
64,1427,23
65,1500,34
66,1427,33
67,1214,21
68,882,5
69,464,-10
70,0,-20
71,-464,-23
72,-882,-18
73,-1214,-10
74,-1427,1
75,-1500,9
76,-1427,13
77,-1214,14
78,-882,10
79,-464,4
80,0,-2
81,464,-7
82,882,-9
83,1214,-8
84,1427,-6
85,1500,-3
86,1427,1
87,1214,2
88,882,2
89,464,2
90,0,1
91,-464,0
92,-882,-1
93,-1214,-1
94,-1427,-1
95,-1500,-1
96,-1427,0
97,-1214,1
98,-882,1
99,-464,1
100,0,1
101,464,0
102,882,-2
103,1214,-2
104,1427,-3
105,1500,-3
106,1427,-2
107,1214,-3
108,882,-3
109,464,-2
110,0,-2
111,-464,0
112,-882,1
113,-1214,1
114,-1427,2
115,-1500,2
116,-1427,1
117,-1214,2
118,-882,2
119,-464,1
120,0,1
121,464,0
122,882,-2
123,1214,-2
124,1427,-3
125,1500,-3
126,1427,-2
127,1214,-3
128,882,-3
129,464,-2
130,0,-2
131,-464,0
132,-882,1
133,-1214,1
134,-1427,2
135,-1500,2
136,-1427,1
137,-1214,2
138,-882,2
139,-464,1
140,0,1
141,464,0
142,882,-2
143,1214,-2
144,1427,-3
145,1500,-3
146,1427,-2
147,1214,-3
148,882,-3
149,464,-2
150,0,-2
151,-464,0
152,-882,1
153,-1214,1
154,-1427,2
155,-1500,2
156,-1427,1
157,-1214,2
158,-882,2
159,-464,1
160,0,1
161,464,0
162,882,-2
163,1214,-2
164,1427,-3
165,1500,-3
166,1427,-2
167,1214,-3
168,882,-3
169,464,-2
170,0,-2
171,-464,0
172,-882,1
173,-1214,1
174,-1427,2
175,-1500,2
176,-1427,1
177,-1214,2
178,-882,2
179,-464,1
180,0,1
181,464,0
182,882,-2
183,1214,-2
184,1427,-3
185,1500,-3
186,1427,-2
187,1214,-3
188,882,-3
189,464,-2
190,0,-2
191,-464,0
192,-882,1
193,-1214,1
194,-1427,2
195,-1500,2
196,-1427,1
197,-1214,2
198,-882,2
199,-464,1
